-27.95,32.5,52.31,224,37.1,27.3,10.29
-16.37,33.5,45.72,207.5,8.96,21.03,2.42
-7.16,45.5,10.4,69.5,6.84,16.26,1.83
-17.9,35,16.68,159,11.56,3.41,2.53
-25.34,29.5,27.89,223,5.82,30.39,1.74
-18.25,44,86.1,218.5,37.52,52.74,11.15
-26.05,26.5,46.05,89,20.34,57.92,5.47
-25.78,52.5,34.82,105.5,25.07,30.44,6.95
-21.88,26,67.27,139.5,20.54,44.37,6.24
10.16,42,18.17,47.5,21.9,19.63,6.2
-6.16,54.5,13.08,223,24.13,31.02,9
-40.35,48,51.69,217.5,20.74,19.47,6.6
-26.29,48,6.11,200,7.14,55.22,1.83
-25.74,45,9.57,186,8.55,75.02,2.3
-29.82,43.5,10.1,223,10.2,66.81,3.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-66.31,39.5,44.82,224,39.82,29.12,8.93
-58.72,45.5,116.42,221.5,52.31,57.5,17.39
-18.92,37,44.78,196.5,40.18,19.09,12.82
0.35,32,13.96,223,12.06,3.79,3.43
-23.33,45,18.49,220,11.05,3.09,3.14
1.93,30.5,13.72,143,10.56,2.61,2.83
-3.84,34.5,35.34,90,17.11,36.67,6.1
-19.12,38,18.59,206.5,9.35,2.9,2.85
5.06,26.5,28.32,96.5,11.4,3.82,3.63
-18.45,39,29.21,222.5,7.97,5.3,1.92
-59.6,27,40.7,166,35.74,61.98,12.38
-27.62,40,46.02,188,32.06,43.39,8.95
-4.11,46,50.56,101.5,23.46,49.24,6.35
-11.42,43.5,29.92,87.5,14.45,9.55,4.59
-16.78,34,58.21,204,20.27,64.63,6.46
0,0,0,0,0,0,0
-37.45,54.5,48.82,208.5,54.17,24.96,16.69
-10.53,57.5,18.75,208.5,23.46,7.08,7.07
-34.4,38.5,41.25,130,30.2,41.57,10.47
0,0,0,0,0,0,0
-9.25,40,37.1,102.5,31.66,36.41,8.07
4.71,40.5,39.53,83.5,33.99,26.26,12.66
-24.49,60.5,41.44,223,12.62,50.87,3.83
12.29,36,42.41,67.5,20.39,7.41,4.64
-68.98,22.5,72.76,201.5,47.03,24.3,13.56
-19.89,27,39.58,97.5,32.95,51.84,7.83
0,0,0,0,0,0,0
-14.42,60.5,21.62,223.5,15.47,5.81,3.94
-15.11,29,21.02,117.5,14.37,20.33,3.9
-9.03,48.5,25.49,168,7.74,19.4,2.21
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
